Chapter_QID_URL,Chapter_Label,Report,Chapter,Last Name,First Name,CountIfs,Role,Gender,Country of Residence,Citizenship,Affiliation,Match_Type
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,CHEUNG,William (wai Lung),3,Core_Writing_Team,M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia",EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,DASGUPTA,Dipak,3,Core_Writing_Team,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI),EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,DENTON,Fatima,4,Core_Writing_Team,F,Ghana,Gambia,,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,DIONGUE-NIANG,Aïda,3,Core_Writing_Team,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,DODMAN,David,3,Core_Writing_Team,M,Netherlands,Jamaica,Institute for Housing and Urban Development Studies,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,GARSCHAGEN,Matthias,5,Core_Writing_Team,M,Germany,Germany,Ludwig-Maximilians-University Munich,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,GEDEN,Oliver,3,Core_Writing_Team,M,Germany,Germany,WGIII Vice-Chair,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,HAYWARD,Bronwyn,4,Core_Writing_Team,F,New Zealand,New Zealand,University of Canterbury,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,JONES,Christopher,3,Core_Writing_Team,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,JOTZO,Frank,3,Core_Writing_Team,M,Australia,Australia,Australian National University,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,KRINNER,Gerhard,3,Core_Writing_Team,M,France,France,CNRS,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,LASCO,Rodel,3,Core_Writing_Team,M,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION,EXACT
http://localhost:8080/entity/Q192,Longer Report,SYR,LR,LEE,June-yi,3,Core_Writing_Team,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics,EXACT
